uniq_region,urban,age_s,prev,sens,spec
BF6_Boucle de Mouhoun,Rural,0.1688748583071511,0.6005,0.86775,0.58875
BF6_Cascades,Rural,0.1688748583071511,0.57525,0.8955,0.594
BF6_Centre,Rural,0.1688748583071511,0.2575,0.9095,0.3065
BF6_Centre-Est,Rural,0.1688748583071511,0.4795,0.84475,0.58275
BF6_Centre-Nord,Rural,0.1688748583071511,0.446,0.89275,0.4715
BF6_Centre-Ouest,Rural,0.1688748583071511,0.6505,0.944,0.64625
BF6_Centre-Sud,Rural,0.1688748583071511,0.498,0.88975,0.46075
BF6_Est,Rural,0.1688748583071511,0.5845,0.83225,0.379
BF6_Hauts Basins,Rural,0.1688748583071511,0.562,0.86225,0.40025
BF6_Nord,Rural,0.1688748583071511,0.46675,0.9685,0.677
BF6_Plateau Central,Rural,0.1688748583071511,0.4015,0.9115,0.46125
BF6_Sud-Ouest,Rural,0.1688748583071511,0.66875,0.94,0.60375
BF6_Sahel,Rural,0.1688748583071511,0.589,0.801,0.38975
BF6_Boucle de Mouhoun,Urban,0.1688748583071511,0.239,0.748,0.3775
BF6_Cascades,Urban,0.1688748583071511,0.22025,0.778,0.401
BF6_Centre,Urban,0.1688748583071511,0.06225,0.785,0.1215
BF6_Centre-Est,Urban,0.1688748583071511,0.169,0.681,0.34
BF6_Centre-Nord,Urban,0.1688748583071511,0.151,0.76975,0.286
BF6_Centre-Ouest,Urban,0.1688748583071511,0.26725,0.86975,0.45525
BF6_Centre-Sud,Urban,0.1688748583071511,0.1735,0.73725,0.29225
BF6_Est,Urban,0.1688748583071511,0.231,0.7,0.21225
BF6_Hauts Basins,Urban,0.1688748583071511,0.195,0.7225,0.18625
BF6_Nord,Urban,0.1688748583071511,0.1525,0.90525,0.48975
BF6_Plateau Central,Urban,0.1688748583071511,0.123,0.82825,0.2415
BF6_Sud-Ouest,Urban,0.1688748583071511,0.29475,0.855,0.33
BF6_Sahel,Urban,0.1688748583071511,0.24225,0.67275,0.24625
BF6_Boucle de Mouhoun,Rural,-1.4437876687209321,0.478,0.86225,0.52
BF6_Cascades,Rural,-1.4437876687209321,0.45625,0.906,0.524
BF6_Centre,Rural,-1.4437876687209321,0.19325,0.9115,0.23425
BF6_Centre-Est,Rural,-1.4437876687209321,0.32575,0.8325,0.52675
BF6_Centre-Nord,Rural,-1.4437876687209321,0.32225,0.88275,0.41325
BF6_Centre-Ouest,Rural,-1.4437876687209321,0.5265,0.94825,0.573
BF6_Centre-Sud,Rural,-1.4437876687209321,0.3715,0.8815,0.3875
BF6_Est,Rural,-1.4437876687209321,0.43725,0.8465,0.32225
BF6_Hauts Basins,Rural,-1.4437876687209321,0.4165,0.8725,0.3285
