uniq_region,urban,age_s,prev,sens,spec
CI6_Centre-Nord,Urban,0.1688748583071511,0.0605,0.892,0.18775
CI6_Sud-Ouest,Urban,0.1688748583071511,0.07,0.7545,0.24475
CI6_Nord-Est,Urban,0.1688748583071511,0.05625,0.844,0.221
CI6_Ouest,Urban,0.1688748583071511,0.085,0.86025,0.24175
CI6_Centre,Urban,0.1688748583071511,0.06625,0.85025,0.1705
CI6_Centre-Est,Urban,0.1688748583071511,0.072,0.89475,0.39875
CI6_Centre-Ouest,Urban,0.1688748583071511,0.084,0.637,0.204
CI6_Nord,Urban,0.1688748583071511,0.04675,0.88725,0.1365
CI6_Sud sans Abidjan,Urban,0.1688748583071511,0.05975,0.8865,0.15425
CI6_Nord-Ouest,Urban,0.1688748583071511,0.04825,0.77075,0.22925
CI6_Ville D'Abidjan,Urban,0.1688748583071511,0.047,0.6675,0.106
CI6_Centre-Nord,Rural,0.1688748583071511,0.1825,0.90525,0.464
CI6_Sud-Ouest,Rural,0.1688748583071511,0.2095,0.82225,0.557
CI6_Nord-Est,Rural,0.1688748583071511,0.17125,0.8755,0.5205
CI6_Ouest,Rural,0.1688748583071511,0.2295,0.891,0.541
CI6_Centre,Rural,0.1688748583071511,0.196,0.86675,0.431
CI6_Centre-Est,Rural,0.1688748583071511,0.225,0.924,0.682
CI6_Centre-Ouest,Rural,0.1688748583071511,0.2395,0.74875,0.458
CI6_Nord,Rural,0.1688748583071511,0.14525,0.9205,0.39175
CI6_Sud sans Abidjan,Rural,0.1688748583071511,0.1855,0.92675,0.394
CI6_Nord-Ouest,Rural,0.1688748583071511,0.15475,0.82225,0.52175
CI6_Ville D'Abidjan,Rural,0.1688748583071511,0.1555,0.75425,0.326
CI6_Centre-Nord,Urban,-1.4437876687209321,0.03925,0.846,0.103
CI6_Sud-Ouest,Urban,-1.4437876687209321,0.049,0.72325,0.14525
CI6_Nord-Est,Urban,-1.4437876687209321,0.03775,0.803,0.1375
CI6_Ouest,Urban,-1.4437876687209321,0.06775,0.79675,0.14225
CI6_Centre,Urban,-1.4437876687209321,0.03975,0.8285,0.09825
CI6_Centre-Est,Urban,-1.4437876687209321,0.04925,0.8425,0.249
CI6_Centre-Ouest,Urban,-1.4437876687209321,0.05725,0.60975,0.12375
CI6_Nord,Urban,-1.4437876687209321,0.02875,0.8745,0.082
CI6_Sud sans Abidjan,Urban,-1.4437876687209321,0.03775,0.862,0.09175
CI6_Nord-Ouest,Urban,-1.4437876687209321,0.041,0.695,0.13625
CI6_Ville D'Abidjan,Urban,-1.4437876687209321,0.03425,0.6145,0.0615
CI6_Centre-Nord,Rural,-1.4437876687209321,0.12,0.86975,0.297
CI6_Sud-Ouest,Rural,-1.4437876687209321,0.14825,0.79375,0.39875
CI6_Nord-Est,Rural,-1.4437876687209321,0.12625,0.829,0.3475
CI6_Ouest,Rural,-1.4437876687209321,0.1805,0.8675,0.39375
CI6_Centre,Rural,-1.4437876687209321,0.1395,0.85625,0.273
CI6_Centre-Est,Rural,-1.4437876687209321,0.1425,0.89275,0.515
CI6_Centre-Ouest,Rural,-1.4437876687209321,0.181,0.7175,0.30125
CI6_Nord,Rural,-1.4437876687209321,0.094,0.89375,0.25475
CI6_Sud sans Abidjan,Rural,-1.4437876687209321,0.1095,0.90325,0.26775
CI6_Nord-Ouest,Rural,-1.4437876687209321,0.10425,0.73375,0.35425
CI6_Ville D'Abidjan,Rural,-1.4437876687209321,0.109,0.71575,0.21425
CI6_Centre-Nord,Urban,0.42690086263164445,0.06125,0.89375,0.205
CI6_Sud-Ouest,Urban,0.42690086263164445,0.07025,0.76825,0.273
CI6_Nord-Est,Urban,0.42690086263164445,0.0615,0.8415,0.25025
CI6_Ouest,Urban,0.42690086263164445,0.093,0.85225,0.27425
CI6_Centre,Urban,0.42690086263164445,0.061,0.842,0.194
CI6_Centre-Est,Urban,0.42690086263164445,0.08,0.8955,0.412
CI6_Centre-Ouest,Urban,0.42690086263164445,0.08475,0.64175,0.2135
CI6_Nord,Urban,0.42690086263164445,0.04875,0.89375,0.14975
CI6_Sud sans Abidjan,Urban,0.42690086263164445,0.06625,0.90075,0.1605
CI6_Nord-Ouest,Urban,0.42690086263164445,0.05875,0.79575,0.262
CI6_Ville D'Abidjan,Urban,0.42690086263164445,0.05625,0.65525,0.1115
CI6_Centre-Nord,Rural,0.42690086263164445,0.1945,0.91375,0.48075
CI6_Sud-Ouest,Rural,0.42690086263164445,0.201,0.829,0.5835
CI6_Nord-Est,Rural,0.42690086263164445,0.199,0.87525,0.55925
CI6_Ouest,Rural,0.42690086263164445,0.2405,0.8945,0.57425
CI6_Centre,Rural,0.42690086263164445,0.2095,0.87025,0.471
CI6_Centre-Est,Rural,0.42690086263164445,0.24875,0.9285,0.7055
