uniq_region,urban,age_s,prev,sens,spec
GH6_Brong Ahafo,Urban,0.1688748583071511,0.1305,0.91475,0.1185
GH6_Northern,Urban,0.1688748583071511,0.132,0.90425,0.16275
GH6_Volta,Urban,0.1688748583071511,0.09275,0.822,0.0825
GH6_Upper West,Urban,0.1688748583071511,0.11575,0.9065,0.14425
GH6_Central,Urban,0.1688748583071511,0.1665,0.86825,0.09275
GH6_Eastern,Urban,0.1688748583071511,0.14075,0.88425,0.09175
GH6_Greater Accra,Urban,0.1688748583071511,0.06325,0.74375,0.0315
GH6_Western,Urban,0.1688748583071511,0.174,0.6825,0.0785
GH6_Ashanti,Urban,0.1688748583071511,0.07375,0.77475,0.028
GH6_Upper East,Urban,0.1688748583071511,0.054,0.63825,0.0385
GH6_Brong Ahafo,Rural,0.1688748583071511,0.3195,0.9735,0.391
GH6_Northern,Rural,0.1688748583071511,0.37725,0.96475,0.46525
GH6_Volta,Rural,0.1688748583071511,0.26125,0.95025,0.253
GH6_Upper West,Rural,0.1688748583071511,0.3795,0.973,0.507
GH6_Central,Rural,0.1688748583071511,0.41625,0.969,0.30575
GH6_Eastern,Rural,0.1688748583071511,0.36125,0.968,0.289
GH6_Greater Accra,Rural,0.1688748583071511,0.21375,0.94025,0.15125
GH6_Western,Rural,0.1688748583071511,0.44025,0.921,0.2585
GH6_Ashanti,Rural,0.1688748583071511,0.26975,0.9575,0.1445
GH6_Upper East,Rural,0.1688748583071511,0.1355,0.915,0.127
GH6_Brong Ahafo,Urban,-1.4437876687209321,0.08675,0.8775,0.067
GH6_Northern,Urban,-1.4437876687209321,0.07625,0.6765,0.12525
GH6_Volta,Urban,-1.4437876687209321,0.053,0.54575,0.059
GH6_Upper West,Urban,-1.4437876687209321,0.05675,0.86125,0.10275
GH6_Central,Urban,-1.4437876687209321,0.1045,0.723,0.06
GH6_Eastern,Urban,-1.4437876687209321,0.10325,0.801,0.05375
GH6_Greater Accra,Urban,-1.4437876687209321,0.04025,0.51325,0.01675
GH6_Western,Urban,-1.4437876687209321,0.11025,0.387,0.06775
GH6_Ashanti,Urban,-1.4437876687209321,0.04925,0.55425,0.0155
GH6_Upper East,Urban,-1.4437876687209321,0.0315,0.434,0.02225
GH6_Brong Ahafo,Rural,-1.4437876687209321,0.21725,0.95975,0.273
GH6_Northern,Rural,-1.4437876687209321,0.26125,0.84975,0.3685
GH6_Volta,Rural,-1.4437876687209321,0.17925,0.813,0.1955
GH6_Upper West,Rural,-1.4437876687209321,0.2605,0.96,0.38525
GH6_Central,Rural,-1.4437876687209321,0.31325,0.90925,0.21125
GH6_Eastern,Rural,-1.4437876687209321,0.28075,0.9455,0.20325
GH6_Greater Accra,Rural,-1.4437876687209321,0.1405,0.8335,0.08525
GH6_Western,Rural,-1.4437876687209321,0.3255,0.71975,0.21575
GH6_Ashanti,Rural,-1.4437876687209321,0.1965,0.854,0.098
GH6_Upper East,Rural,-1.4437876687209321,0.078,0.7625,0.08175
GH6_Brong Ahafo,Urban,0.42690086263164445,0.13925,0.9175,0.12475
GH6_Northern,Urban,0.42690086263164445,0.12325,0.92825,0.16025
GH6_Volta,Urban,0.42690086263164445,0.1065,0.84725,0.09225
GH6_Upper West,Urban,0.42690086263164445,0.12525,0.904,0.15775
GH6_Central,Urban,0.42690086263164445,0.169,0.88925,0.0965
GH6_Eastern,Urban,0.42690086263164445,0.1395,0.8885,0.09075
GH6_Greater Accra,Urban,0.42690086263164445,0.07575,0.799,0.03925
GH6_Western,Urban,0.42690086263164445,0.1855,0.722,0.081
GH6_Ashanti,Urban,0.42690086263164445,0.06875,0.80675,0.03075
GH6_Upper East,Urban,0.42690086263164445,0.05875,0.6765,0.0435
GH6_Brong Ahafo,Rural,0.42690086263164445,0.34075,0.97375,0.42475
GH6_Northern,Rural,0.42690086263164445,0.40525,0.97075,0.47725
GH6_Volta,Rural,0.42690086263164445,0.2865,0.9615,0.2615
GH6_Upper West,Rural,0.42690086263164445,0.41675,0.98375,0.52775
GH6_Central,Rural,0.42690086263164445,0.44325,0.9685,0.3295
GH6_Eastern,Rural,0.42690086263164445,0.389,0.972,0.30675
GH6_Greater Accra,Rural,0.42690086263164445,0.23975,0.9505,0.15675
GH6_Western,Rural,0.42690086263164445,0.46975,0.9355,0.26075
GH6_Ashanti,Rural,0.42690086263164445,0.28425,0.96275,0.1545
GH6_Upper East,Rural,0.42690086263164445,0.15175,0.92725,0.1485
GH6_Brong Ahafo,Urban,0.03986185614490445,0.1305,0.9115,0.113
GH6_Northern,Urban,0.03986185614490445,0.115,0.88825,0.1645
GH6_Volta,Urban,0.03986185614490445,0.09025,0.7945,0.083
GH6_Upper West,Urban,0.03986185614490445,0.10425,0.90625,0.14575
GH6_Central,Urban,0.03986185614490445,0.1485,0.85775,0.0935
GH6_Eastern,Urban,0.03986185614490445,0.13025,0.88375,0.0865
GH6_Greater Accra,Urban,0.03986185614490445,0.06475,0.7385,0.03125
GH6_Western,Urban,0.03986185614490445,0.179,0.65125,0.077
GH6_Ashanti,Urban,0.03986185614490445,0.06375,0.76775,0.02525
GH6_Upper East,Urban,0.03986185614490445,0.0565,0.61425,0.0365
GH6_Brong Ahafo,Rural,0.03986185614490445,0.30575,0.9715,0.3885
GH6_Northern,Rural,0.03986185614490445,0.372,0.9615,0.46025
GH6_Volta,Rural,0.03986185614490445,0.25625,0.94575,0.246
GH6_Upper West,Rural,0.03986185614490445,0.38525,0.979,0.48675
GH6_Central,Rural,0.03986185614490445,0.425,0.9645,0.316
GH6_Eastern,Rural,0.03986185614490445,0.36175,0.96925,0.2905
GH6_Greater Accra,Rural,0.03986185614490445,0.2145,0.942,0.14575
GH6_Western,Rural,0.03986185614490445,0.4205,0.91175,0.2605
GH6_Ashanti,Rural,0.03986185614490445,0.26475,0.9525,0.13925
GH6_Upper East,Rural,0.03986185614490445,0.1275,0.90425,0.125
GH6_Brong Ahafo,Urban,1.3944983788484944,0.175,0.9175,0.18225
GH6_Northern,Urban,1.3944983788484944,0.18125,0.961,0.2025
GH6_Volta,Urban,1.3944983788484944,0.1445,0.9165,0.0985
GH6_Upper West,Urban,1.3944983788484944,0.1695,0.908,0.2105
GH6_Central,Urban,1.3944983788484944,0.22225,0.92425,0.123
GH6_Eastern,Urban,1.3944983788484944,0.17325,0.9125,0.12625
GH6_Greater Accra,Urban,1.3944983788484944,0.10075,0.86925,0.04875
GH6_Western,Urban,1.3944983788484944,0.239,0.854,0.0995
GH6_Ashanti,Urban,1.3944983788484944,0.10425,0.8795,0.041
GH6_Upper East,Urban,1.3944983788484944,0.0905,0.76175,0.06425
GH6_Brong Ahafo,Rural,1.3944983788484944,0.39875,0.9725,0.50425
GH6_Northern,Rural,1.3944983788484944,0.496,0.98875,0.52975
GH6_Volta,Rural,1.3944983788484944,0.356,0.97775,0.29325
GH6_Upper West,Rural,1.3944983788484944,0.49575,0.9795,0.586
GH6_Central,Rural,1.3944983788484944,0.5225,0.97725,0.393
GH6_Eastern,Rural,1.3944983788484944,0.4335,0.978,0.36
GH6_Greater Accra,Rural,1.3944983788484944,0.2945,0.9675,0.22175
GH6_Western,Rural,1.3944983788484944,0.553,0.9675,0.30525
GH6_Ashanti,Rural,1.3944983788484944,0.346,0.9755,0.1985
GH6_Upper East,Rural,1.3944983788484944,0.21375,0.949,0.191
GH6_Brong Ahafo,Urban,-0.024644644936218884,0.12525,0.90175,0.109
GH6_Northern,Urban,-0.024644644936218884,0.118,0.88525,0.15875
GH6_Volta,Urban,-0.024644644936218884,0.0955,0.7935,0.08225
GH6_Upper West,Urban,-0.024644644936218884,0.1055,0.91125,0.15025
GH6_Central,Urban,-0.024644644936218884,0.15375,0.86175,0.08575
GH6_Eastern,Urban,-0.024644644936218884,0.14,0.881,0.08675
GH6_Greater Accra,Urban,-0.024644644936218884,0.062,0.72675,0.03
GH6_Western,Urban,-0.024644644936218884,0.159,0.6435,0.077
GH6_Ashanti,Urban,-0.024644644936218884,0.06325,0.75425,0.02825
GH6_Upper East,Urban,-0.024644644936218884,0.05675,0.60325,0.032
GH6_Brong Ahafo,Rural,-0.024644644936218884,0.30525,0.9735,0.36375
GH6_Northern,Rural,-0.024644644936218884,0.377,0.9575,0.46725
GH6_Volta,Rural,-0.024644644936218884,0.2725,0.93825,0.25275
GH6_Upper West,Rural,-0.024644644936218884,0.35875,0.9765,0.47375
GH6_Central,Rural,-0.024644644936218884,0.41975,0.96025,0.2865
GH6_Eastern,Rural,-0.024644644936218884,0.35225,0.9675,0.282
GH6_Greater Accra,Rural,-0.024644644936218884,0.2105,0.936,0.11925
GH6_Western,Rural,-0.024644644936218884,0.41775,0.89825,0.24475
GH6_Ashanti,Rural,-0.024644644936218884,0.26325,0.94925,0.1455
GH6_Upper East,Rural,-0.024644644936218884,0.14,0.89975,0.1245
GH6_Brong Ahafo,Urban,-0.5406966535852056,0.114,0.90125,0.09275
GH6_Northern,Urban,-0.5406966535852056,0.09875,0.83625,0.1445
GH6_Volta,Urban,-0.5406966535852056,0.07675,0.71,0.0705
GH6_Upper West,Urban,-0.5406966535852056,0.088,0.89775,0.12575
GH6_Central,Urban,-0.5406966535852056,0.14375,0.8295,0.0835
GH6_Eastern,Urban,-0.5406966535852056,0.11725,0.8635,0.07
GH6_Greater Accra,Urban,-0.5406966535852056,0.051,0.66975,0.03
GH6_Western,Urban,-0.5406966535852056,0.13925,0.536,0.06975
GH6_Ashanti,Urban,-0.5406966535852056,0.06125,0.68675,0.02525
GH6_Upper East,Urban,-0.5406966535852056,0.045,0.5435,0.02625
GH6_Brong Ahafo,Rural,-0.5406966535852056,0.27775,0.96625,0.33275
GH6_Northern,Rural,-0.5406966535852056,0.32825,0.94075,0.43175
GH6_Volta,Rural,-0.5406966535852056,0.2335,0.92125,0.21675
GH6_Upper West,Rural,-0.5406966535852056,0.32575,0.97425,0.449
GH6_Central,Rural,-0.5406966535852056,0.3745,0.9455,0.26
GH6_Eastern,Rural,-0.5406966535852056,0.32425,0.96125,0.247
GH6_Greater Accra,Rural,-0.5406966535852056,0.176,0.906,0.1165
GH6_Western,Rural,-0.5406966535852056,0.369,0.8555,0.24225
GH6_Ashanti,Rural,-0.5406966535852056,0.24275,0.92925,0.11975
GH6_Upper East,Rural,-0.5406966535852056,0.102,0.86625,0.115
GH6_Brong Ahafo,Urban,-1.4437876687209321,0.1005,0.8835,0.0775
GH6_Northern,Urban,-1.4437876687209321,0.0805,0.68725,0.1065
GH6_Volta,Urban,-1.4437876687209321,0.06,0.553,0.059
GH6_Upper West,Urban,-1.4437876687209321,0.0675,0.86875,0.09575
