uniq_region,urban,age_s,prev,sens,spec
GN6_Kindia,Urban,0.1688748583071511,0.269,0.38225,0.0955
GN6_Mamou,Urban,0.1688748583071511,0.2065,0.33725,0.09575
GN6_Faranah,Urban,0.1688748583071511,0.4125,0.599,0.2345
GN6_Conakry,Urban,0.1688748583071511,0.01825,0.526,0.0155
GN6_Boke,Urban,0.1688748583071511,0.13475,0.375,0.1015
GN6_Labe,Urban,0.1688748583071511,0.185,0.27875,0.054
GN6_Kankan,Urban,0.1688748583071511,0.30575,0.5215,0.22575
GN6_N'Zerekore,Urban,0.1688748583071511,0.356,0.5405,0.23225
GN6_Kindia,Rural,0.1688748583071511,0.589,0.7835,0.28475
GN6_Mamou,Rural,0.1688748583071511,0.461,0.65475,0.21325
GN6_Faranah,Rural,0.1688748583071511,0.7675,0.87275,0.473
GN6_Conakry,Rural,0.1688748583071511,0.1,0.80725,0.09
GN6_Boke,Rural,0.1688748583071511,0.248,0.7445,0.3365
GN6_Labe,Rural,0.1688748583071511,0.36625,0.602,0.169
GN6_Kankan,Rural,0.1688748583071511,0.59175,0.883,0.5795
GN6_N'Zerekore,Rural,0.1688748583071511,0.69975,0.8425,0.47975
GN6_Kindia,Urban,-1.4437876687209321,0.194,0.28975,0.063
GN6_Mamou,Urban,-1.4437876687209321,0.14625,0.24525,0.07575
GN6_Faranah,Urban,-1.4437876687209321,0.30325,0.51525,0.16225
GN6_Conakry,Urban,-1.4437876687209321,0.01975,0.4005,0.01
GN6_Boke,Urban,-1.4437876687209321,0.105,0.303,0.0665
GN6_Labe,Urban,-1.4437876687209321,0.134,0.17975,0.03575
GN6_Kankan,Urban,-1.4437876687209321,0.249,0.4655,0.159
GN6_N'Zerekore,Urban,-1.4437876687209321,0.26975,0.4265,0.17825
GN6_Kindia,Rural,-1.4437876687209321,0.51925,0.6715,0.21875
GN6_Mamou,Rural,-1.4437876687209321,0.37875,0.5505,0.168
GN6_Faranah,Rural,-1.4437876687209321,0.668,0.83325,0.3815
GN6_Conakry,Rural,-1.4437876687209321,0.076,0.68425,0.081
GN6_Boke,Rural,-1.4437876687209321,0.192,0.66475,0.254
GN6_Labe,Rural,-1.4437876687209321,0.288,0.4455,0.14375
GN6_Kankan,Rural,-1.4437876687209321,0.5105,0.8565,0.4815
GN6_N'Zerekore,Rural,-1.4437876687209321,0.62175,0.767,0.41375
GN6_Kindia,Urban,0.42690086263164445,0.27775,0.38625,0.092
GN6_Mamou,Urban,0.42690086263164445,0.21175,0.35075,0.10175
GN6_Faranah,Urban,0.42690086263164445,0.41525,0.6195,0.257
GN6_Conakry,Urban,0.42690086263164445,0.02275,0.54975,0.01425
GN6_Boke,Urban,0.42690086263164445,0.14175,0.41725,0.1005
GN6_Labe,Urban,0.42690086263164445,0.176,0.293,0.051
GN6_Kankan,Urban,0.42690086263164445,0.32075,0.52575,0.233
GN6_N'Zerekore,Urban,0.42690086263164445,0.37875,0.57325,0.233
GN6_Kindia,Rural,0.42690086263164445,0.619,0.7845,0.289
GN6_Mamou,Rural,0.42690086263164445,0.487,0.6715,0.2165
GN6_Faranah,Rural,0.42690086263164445,0.7855,0.8855,0.493
GN6_Conakry,Rural,0.42690086263164445,0.09925,0.812,0.104
GN6_Boke,Rural,0.42690086263164445,0.26225,0.77125,0.35875
GN6_Labe,Rural,0.42690086263164445,0.382,0.61725,0.173
GN6_Kankan,Rural,0.42690086263164445,0.6095,0.88825,0.6055
GN6_N'Zerekore,Rural,0.42690086263164445,0.71275,0.848,0.498
GN6_Kindia,Urban,0.03986185614490445,0.25925,0.3785,0.0875
GN6_Mamou,Urban,0.03986185614490445,0.19525,0.3315,0.0935
GN6_Faranah,Urban,0.03986185614490445,0.403,0.59575,0.243
GN6_Conakry,Urban,0.03986185614490445,0.0235,0.51825,0.018
GN6_Boke,Urban,0.03986185614490445,0.13275,0.384,0.09225
GN6_Labe,Urban,0.03986185614490445,0.17775,0.2675,0.05025
GN6_Kankan,Urban,0.03986185614490445,0.2975,0.517,0.23375
GN6_N'Zerekore,Urban,0.03986185614490445,0.35175,0.54375,0.2175
GN6_Kindia,Rural,0.03986185614490445,0.599,0.772,0.27675
GN6_Mamou,Rural,0.03986185614490445,0.46025,0.65275,0.20575
GN6_Faranah,Rural,0.03986185614490445,0.768,0.877,0.4475
GN6_Conakry,Rural,0.03986185614490445,0.0995,0.784,0.08975
GN6_Boke,Rural,0.03986185614490445,0.2505,0.7455,0.3365
GN6_Labe,Rural,0.03986185614490445,0.3655,0.57475,0.1715
GN6_Kankan,Rural,0.03986185614490445,0.5845,0.87025,0.58575
GN6_N'Zerekore,Rural,0.03986185614490445,0.70625,0.8265,0.4815
GN6_Kindia,Urban,1.3944983788484944,0.32525,0.4465,0.116
GN6_Mamou,Urban,1.3944983788484944,0.2465,0.4335,0.11925
GN6_Faranah,Urban,1.3944983788484944,0.48925,0.65625,0.29775
GN6_Conakry,Urban,1.3944983788484944,0.029,0.63775,0.0185
GN6_Boke,Urban,1.3944983788484944,0.16775,0.46425,0.142
GN6_Labe,Urban,1.3944983788484944,0.20875,0.3595,0.0615
GN6_Kankan,Urban,1.3944983788484944,0.3485,0.5665,0.279
GN6_N'Zerekore,Urban,1.3944983788484944,0.41475,0.636,0.28125
GN6_Kindia,Rural,1.3944983788484944,0.65475,0.81525,0.3365
GN6_Mamou,Rural,1.3944983788484944,0.53875,0.72325,0.24825
GN6_Faranah,Rural,1.3944983788484944,0.83075,0.90175,0.53875
GN6_Conakry,Rural,1.3944983788484944,0.11975,0.8595,0.107
GN6_Boke,Rural,1.3944983788484944,0.31,0.80725,0.41175
GN6_Labe,Rural,1.3944983788484944,0.4215,0.678,0.211
GN6_Kankan,Rural,1.3944983788484944,0.66075,0.90275,0.6725
GN6_N'Zerekore,Rural,1.3944983788484944,0.77275,0.87275,0.558
GN6_Kindia,Urban,-0.024644644936218884,0.25225,0.3695,0.09325
GN6_Mamou,Urban,-0.024644644936218884,0.18375,0.32225,0.08925
GN6_Faranah,Urban,-0.024644644936218884,0.39575,0.589,0.22375
GN6_Conakry,Urban,-0.024644644936218884,0.01775,0.51475,0.0135
GN6_Boke,Urban,-0.024644644936218884,0.134,0.3695,0.097
GN6_Labe,Urban,-0.024644644936218884,0.1875,0.2465,0.04425
GN6_Kankan,Urban,-0.024644644936218884,0.2925,0.509,0.22275
GN6_N'Zerekore,Urban,-0.024644644936218884,0.3325,0.53425,0.21625
GN6_Kindia,Rural,-0.024644644936218884,0.60375,0.75425,0.269
GN6_Mamou,Rural,-0.024644644936218884,0.44775,0.65225,0.1995
GN6_Faranah,Rural,-0.024644644936218884,0.7515,0.87075,0.45825
GN6_Conakry,Rural,-0.024644644936218884,0.0945,0.79225,0.0985
GN6_Boke,Rural,-0.024644644936218884,0.23475,0.74175,0.33375
GN6_Labe,Rural,-0.024644644936218884,0.3465,0.56,0.169
