uniq_region,urban,age_s,prev,sens,spec
NG6_North Central,Rural,0.1688748583071511,0.581,0.75925,0.2175
NG6_North East,Rural,0.1688748583071511,0.3235,0.8585,0.2465
NG6_North West,Rural,0.1688748583071511,0.4815,0.822,0.3675
NG6_South East,Rural,0.1688748583071511,0.33875,0.879,0.1805
NG6_South South,Rural,0.1688748583071511,0.38375,0.87675,0.40975
NG6_South West,Rural,0.1688748583071511,0.467,0.89525,0.268
NG6_North Central,Urban,0.1688748583071511,0.1575,0.58275,0.10075
NG6_North East,Urban,0.1688748583071511,0.13225,0.709,0.127
NG6_North West,Urban,0.1688748583071511,0.15875,0.69,0.1585
NG6_South East,Urban,0.1688748583071511,0.145,0.78525,0.0955
NG6_South South,Urban,0.1688748583071511,0.14875,0.73975,0.1885
NG6_South West,Urban,0.1688748583071511,0.1685,0.81125,0.11425
NG6_North Central,Rural,-1.4437876687209321,0.43875,0.74375,0.146
NG6_North East,Rural,-1.4437876687209321,0.2245,0.84975,0.1785
NG6_North West,Rural,-1.4437876687209321,0.357,0.8245,0.27825
NG6_South East,Rural,-1.4437876687209321,0.23175,0.87875,0.12075
NG6_South South,Rural,-1.4437876687209321,0.275,0.86475,0.30925
NG6_South West,Rural,-1.4437876687209321,0.345,0.88525,0.19625
NG6_North Central,Urban,-1.4437876687209321,0.09525,0.57725,0.064
NG6_North East,Urban,-1.4437876687209321,0.098,0.70475,0.084
NG6_North West,Urban,-1.4437876687209321,0.10475,0.65725,0.11275
NG6_South East,Urban,-1.4437876687209321,0.09,0.79075,0.06225
NG6_South South,Urban,-1.4437876687209321,0.09525,0.72925,0.131
NG6_South West,Urban,-1.4437876687209321,0.1025,0.808,0.074
NG6_North Central,Rural,0.42690086263164445,0.59975,0.765,0.23275
NG6_North East,Rural,0.42690086263164445,0.34,0.856,0.28025
NG6_North West,Rural,0.42690086263164445,0.4935,0.8315,0.37575
NG6_South East,Rural,0.42690086263164445,0.35075,0.87625,0.19075
NG6_South South,Rural,0.42690086263164445,0.41825,0.868,0.41725
NG6_South West,Rural,0.42690086263164445,0.49125,0.9015,0.29
NG6_North Central,Urban,0.42690086263164445,0.17775,0.59975,0.10725
NG6_North East,Urban,0.42690086263164445,0.14775,0.71575,0.1295
NG6_North West,Urban,0.42690086263164445,0.1715,0.684,0.18125
NG6_South East,Urban,0.42690086263164445,0.15,0.78125,0.10175
NG6_South South,Urban,0.42690086263164445,0.15425,0.747,0.19075
NG6_South West,Urban,0.42690086263164445,0.18075,0.8255,0.119
NG6_North Central,Rural,0.03986185614490445,0.57425,0.7535,0.21875
NG6_North East,Rural,0.03986185614490445,0.32175,0.86625,0.24125
NG6_North West,Rural,0.03986185614490445,0.455,0.812,0.352
NG6_South East,Rural,0.03986185614490445,0.32875,0.884,0.1805
NG6_South South,Rural,0.03986185614490445,0.38325,0.86225,0.397
NG6_South West,Rural,0.03986185614490445,0.45,0.895,0.26825
NG6_North Central,Urban,0.03986185614490445,0.16125,0.592,0.09975
NG6_North East,Urban,0.03986185614490445,0.13775,0.71875,0.1095
NG6_North West,Urban,0.03986185614490445,0.15025,0.67525,0.15975
NG6_South East,Urban,0.03986185614490445,0.13575,0.80175,0.0885
NG6_South South,Urban,0.03986185614490445,0.13875,0.74975,0.167
NG6_South West,Urban,0.03986185614490445,0.15575,0.81025,0.11125
NG6_North Central,Rural,1.3944983788484944,0.667,0.78025,0.2825
NG6_North East,Rural,1.3944983788484944,0.39925,0.85275,0.324
NG6_North West,Rural,1.3944983788484944,0.54975,0.8335,0.434
NG6_South East,Rural,1.3944983788484944,0.42425,0.87725,0.24975
NG6_South South,Rural,1.3944983788484944,0.49425,0.86825,0.485
NG6_South West,Rural,1.3944983788484944,0.56825,0.89775,0.34925
NG6_North Central,Urban,1.3944983788484944,0.22025,0.6165,0.138
NG6_North East,Urban,1.3944983788484944,0.18675,0.73775,0.1675
NG6_North West,Urban,1.3944983788484944,0.21275,0.68425,0.2025
NG6_South East,Urban,1.3944983788484944,0.2075,0.7855,0.13
NG6_South South,Urban,1.3944983788484944,0.193,0.7425,0.22775
NG6_South West,Urban,1.3944983788484944,0.2235,0.82425,0.149
NG6_North Central,Rural,-0.024644644936218884,0.5615,0.75,0.2125
NG6_North East,Rural,-0.024644644936218884,0.3,0.86025,0.2455
NG6_North West,Rural,-0.024644644936218884,0.45625,0.82475,0.347
NG6_South East,Rural,-0.024644644936218884,0.3195,0.8775,0.178
NG6_South South,Rural,-0.024644644936218884,0.3655,0.86575,0.39375
NG6_South West,Rural,-0.024644644936218884,0.447,0.8995,0.275
NG6_North Central,Urban,-0.024644644936218884,0.152,0.5955,0.09825
NG6_North East,Urban,-0.024644644936218884,0.13975,0.71875,0.1125
NG6_North West,Urban,-0.024644644936218884,0.13775,0.689,0.14825
NG6_South East,Urban,-0.024644644936218884,0.14325,0.7905,0.09225
NG6_South South,Urban,-0.024644644936218884,0.12875,0.73275,0.18725
NG6_South West,Urban,-0.024644644936218884,0.15025,0.822,0.09775
NG6_North Central,Rural,-0.5406966535852056,0.51175,0.74975,0.1935
NG6_North East,Rural,-0.5406966535852056,0.26425,0.856,0.2115
NG6_North West,Rural,-0.5406966535852056,0.4055,0.83025,0.3205
NG6_South East,Rural,-0.5406966535852056,0.2825,0.88575,0.15525
NG6_South South,Rural,-0.5406966535852056,0.31875,0.86375,0.35725
NG6_South West,Rural,-0.5406966535852056,0.40825,0.8915,0.2335
NG6_North Central,Urban,-0.5406966535852056,0.11675,0.5895,0.07775
NG6_North East,Urban,-0.5406966535852056,0.11225,0.71425,0.1155
NG6_North West,Urban,-0.5406966535852056,0.1365,0.67725,0.1475
NG6_South East,Urban,-0.5406966535852056,0.11925,0.76975,0.0815
NG6_South South,Urban,-0.5406966535852056,0.12,0.7435,0.16375
NG6_South West,Urban,-0.5406966535852056,0.1335,0.82425,0.08425
NG6_North Central,Rural,-1.4437876687209321,0.43675,0.733,0.14075
NG6_North East,Rural,-1.4437876687209321,0.22525,0.8525,0.16425
NG6_North West,Rural,-1.4437876687209321,0.34875,0.81925,0.268
NG6_South East,Rural,-1.4437876687209321,0.2245,0.884,0.128
NG6_South South,Rural,-1.4437876687209321,0.264,0.86025,0.3165
NG6_South West,Rural,-1.4437876687209321,0.34775,0.886,0.20225
NG6_North Central,Urban,-1.4437876687209321,0.09125,0.55925,0.068
NG6_North East,Urban,-1.4437876687209321,0.089,0.69875,0.086
NG6_North West,Urban,-1.4437876687209321,0.1035,0.6695,0.117
NG6_South East,Urban,-1.4437876687209321,0.09575,0.793,0.0645
NG6_South South,Urban,-1.4437876687209321,0.091,0.72825,0.1285
NG6_South West,Urban,-1.4437876687209321,0.097,0.805,0.073
NG6_North Central,Rural,-0.21816414817958887,0.533,0.7455,0.20075
NG6_North East,Rural,-0.21816414817958887,0.2855,0.85325,0.2295
NG6_North West,Rural,-0.21816414817958887,0.42,0.82675,0.33725
NG6_South East,Rural,-0.21816414817958887,0.305,0.8815,0.1675
NG6_South South,Rural,-0.21816414817958887,0.37175,0.8615,0.38275
NG6_South West,Rural,-0.21816414817958887,0.43825,0.8985,0.24775
NG6_North Central,Urban,-0.21816414817958887,0.138,0.58775,0.08825
NG6_North East,Urban,-0.21816414817958887,0.13375,0.708,0.12025
NG6_North West,Urban,-0.21816414817958887,0.154,0.6765,0.146
NG6_South East,Urban,-0.21816414817958887,0.12525,0.79325,0.083
NG6_South South,Urban,-0.21816414817958887,0.13875,0.74325,0.168
NG6_South West,Urban,-0.21816414817958887,0.14975,0.8175,0.102
NG6_North Central,Rural,-0.08915114601734221,0.571,0.7525,0.217
NG6_North East,Rural,-0.08915114601734221,0.302,0.85275,0.24125
NG6_North West,Rural,-0.08915114601734221,0.4425,0.823,0.3505
NG6_South East,Rural,-0.08915114601734221,0.3105,0.87425,0.1725
NG6_South South,Rural,-0.08915114601734221,0.36475,0.861,0.393
NG6_South West,Rural,-0.08915114601734221,0.44125,0.89725,0.2525
NG6_North Central,Urban,-0.08915114601734221,0.146,0.5935,0.0985
NG6_North East,Urban,-0.08915114601734221,0.1315,0.709,0.1175
NG6_North West,Urban,-0.08915114601734221,0.1535,0.68875,0.14725
NG6_South East,Urban,-0.08915114601734221,0.1415,0.795,0.08175
NG6_South South,Urban,-0.08915114601734221,0.13475,0.736,0.16825
NG6_South West,Urban,-0.08915114601734221,0.149,0.82325,0.10175
NG6_North Central,Rural,0.23338135938827445,0.5785,0.75625,0.232
NG6_North East,Rural,0.23338135938827445,0.335,0.856,0.2475
NG6_North West,Rural,0.23338135938827445,0.46625,0.82875,0.37675
NG6_South East,Rural,0.23338135938827445,0.3505,0.891,0.1975
NG6_South South,Rural,0.23338135938827445,0.3805,0.866,0.4055
NG6_South West,Rural,0.23338135938827445,0.47925,0.89125,0.28675
NG6_North Central,Urban,0.23338135938827445,0.15575,0.59275,0.1125
NG6_North East,Urban,0.23338135938827445,0.1425,0.73375,0.1245
NG6_North West,Urban,0.23338135938827445,0.16575,0.6785,0.15825
NG6_South East,Urban,0.23338135938827445,0.14525,0.786,0.096
NG6_South South,Urban,0.23338135938827445,0.147,0.7495,0.1805
NG6_South West,Urban,0.23338135938827445,0.1755,0.814,0.11375
NG6_North Central,Rural,-1.4437876687209321,0.43325,0.73175,0.15125
NG6_North East,Rural,-1.4437876687209321,0.22675,0.8445,0.18275
NG6_North West,Rural,-1.4437876687209321,0.3415,0.818,0.27175
NG6_South East,Rural,-1.4437876687209321,0.2355,0.88725,0.13375
NG6_South South,Rural,-1.4437876687209321,0.2735,0.87275,0.32175
NG6_South West,Rural,-1.4437876687209321,0.34225,0.89,0.19375
NG6_North Central,Urban,-1.4437876687209321,0.095,0.564,0.067
NG6_North East,Urban,-1.4437876687209321,0.09825,0.70275,0.087
NG6_North West,Urban,-1.4437876687209321,0.1045,0.66275,0.11675
