uniq_region,urban,age_s,prev,sens,spec
TG6_kara,Rural,0.1688748583071511,0.58025,0.874,0.2355
TG6_grande agglomeration de lome,Rural,0.1688748583071511,0.272,0.8105,0.163
TG6_savanes,Rural,0.1688748583071511,0.29725,0.8345,0.10675
TG6_plateaux,Rural,0.1688748583071511,0.5315,0.90075,0.274
TG6_maritime (sans agglomeration de lome),Rural,0.1688748583071511,0.36975,0.819,0.10775
TG6_centrale,Rural,0.1688748583071511,0.58475,0.8855,0.1925
TG6_kara,Urban,0.1688748583071511,0.27325,0.56275,0.0505
TG6_grande agglomeration de lome,Urban,0.1688748583071511,0.0615,0.4735,0.03675
TG6_savanes,Urban,0.1688748583071511,0.0825,0.517,0.05375
TG6_plateaux,Urban,0.1688748583071511,0.25225,0.6005,0.11025
TG6_maritime (sans agglomeration de lome),Urban,0.1688748583071511,0.149,0.49475,0.04975
TG6_centrale,Urban,0.1688748583071511,0.20725,0.55725,0.079
TG6_kara,Rural,-1.4437876687209321,0.41825,0.81475,0.15775
TG6_grande agglomeration de lome,Rural,-1.4437876687209321,0.18875,0.7315,0.149
TG6_savanes,Rural,-1.4437876687209321,0.2065,0.75,0.09675
TG6_plateaux,Rural,-1.4437876687209321,0.4285,0.7855,0.25225
TG6_maritime (sans agglomeration de lome),Rural,-1.4437876687209321,0.2495,0.6245,0.06875
TG6_centrale,Rural,-1.4437876687209321,0.436,0.76275,0.15925
TG6_kara,Urban,-1.4437876687209321,0.1685,0.44625,0.03025
TG6_grande agglomeration de lome,Urban,-1.4437876687209321,0.0375,0.385,0.0355
TG6_savanes,Urban,-1.4437876687209321,0.05,0.395,0.0465
TG6_plateaux,Urban,-1.4437876687209321,0.164,0.3835,0.10175
TG6_maritime (sans agglomeration de lome),Urban,-1.4437876687209321,0.08575,0.28325,0.035
TG6_centrale,Urban,-1.4437876687209321,0.13425,0.375,0.065
TG6_kara,Rural,0.42690086263164445,0.5925,0.88175,0.249
TG6_grande agglomeration de lome,Rural,0.42690086263164445,0.2885,0.83225,0.16375
TG6_savanes,Rural,0.42690086263164445,0.29275,0.84875,0.10175
TG6_plateaux,Rural,0.42690086263164445,0.56025,0.91275,0.28275
